question,choice1,choice2,choice3,choice4,correct_index,explanation
ما هو حاصل جمع العددين العشريين: 45.266 + 12.58؟,57.846,57.346,58.266,57.840,0,45.266 + 12.58 = 57.846
عند طرح (58.25 - 35.2)، ما الخطوة الأولى الصحيحة قبل إجراء الطرح؟,حذف العلامات العشرية تماماً,إضافة صفر على يمين العدد 35.2 ليكون 35.20,إضافة صفر على يسار العدد 58.25,توحيد المقامات,1,يجب إضافة صفر على يمين 35.2 ليصبح 35.20 لتساوي عدد الأرقام العشرية
عند ضرب العدد 58.6 (رقم واحد بعد الفاصلة) في العدد 5.7 (رقم واحد بعد الفاصلة)، أين نضع العلامة العشرية في الناتج النهائي؟,بعد رقم واحد من اليمين,بعد رقمين من اليمين,بعد ثلاثة أرقام من اليمين,نلغي العلامة العشرية تماماً,1,عند ضرب عددين عشريين نجمع عدد الأرقام العشرية: 1+1=2
ما الناتج النهائي لعملية الضرب: 58.6 × 5.7؟,33.402,334.02,3340.2,3.3402,1,58.6 × 5.7 = 334.02
في الكسر الاعتيادي، يسمى الجزء العلوي الذي يعبر عن "الجزء":,المقام,البسط,الفاصلة العشرية,القاسم المشترك,1,البسط هو الجزء العلوي في الكسر الاعتيادي
ماذا يحدث لقيمة الكسر إذا ضربنا كلاً من البسط والمقام في نفس العدد؟,تزداد القيمة,تقل القيمة,لا تتغير القيمة,تتضاعف القيمة,2,قيمة الكسر تبقى ثابتة عند ضرب البسط والمقام في نفس العدد
عند مقارنة الكسرين (2/3) و (4/5) بعد توحيد المقامات على 15، النتيجة هي:,2/3 أكبر من 4/5,الكسران متساويان,4/5 أكبر من 2/3,لا يمكن المقارنة,2,2/3 = 10/15 و 4/5 = 12/15، إذاً 4/5 أكبر
اختزال الكسر (6/18) في أبسط صورة بقسمة البسط والمقام على 6 يعطي الكسر:,1/2,1/3,2/3,1/6,1,6÷6 = 1 و 18÷6 = 3، إذاً الكسر = 1/3
عند جمع الكسرين المتجانسين (2/9 + 5/9)، فإن الناتج يكون:,7/18,7/9,10/9,7/81,1,(2+5)/9 = 7/9
ما حاصل جمع الكسرين غير المتجانسين: (1/3 + 1/2)؟,2/5,2/6,5/6,1/6,2,نوحد المقامات: 2/6 + 3/6 = 5/6
