question,choice1,choice2,choice3,choice4,correct_index,explanation
ما البحر الذي وصفه صفي الدين الحلي بأن له «دون البحور فضائل»؟,البسيط,الكامل,الطويل,الرمل,2,البحر الطويل هو الذي وصفه بأن له دون البحور فضائل.
ما تفعيلات البحر الطويل؟,مستفعلن فعلن مستفعلن فعلن,فعولن مفاعيلن فعولن مفاعلن,متفاعلن متفاعلن متفاعلن,مفاعلتن مفاعلتن فعولن,1,تفعيلات البحر الطويل: فعولن مفاعيلن فعولن مفاعلن
إلى أي بحر ينتمي الضابط: «لمديد الشعر عندي صفات»؟,المديد,الهزج,الرجز,الوافر,0,الضابط ينتمي إلى بحر المديد.
ما تفعيلات البحر المديد؟,فاعلاتن فاعلن فاعلاتن,فعولن مفاعيلن فعولن مفاعلن,مستفعلن مستفعلن مستفعلن,مفاعيلن مفاعيلن,0,تفعيلات البحر المديد: فاعلاتن فاعلن فاعلاتن
ما البحر الذي يرد اسمه في قول الشاعر: «إن البسيط لديه يبسط الأمل»؟,الرمل,الطويل,البسيط,الكامل,2,البحر المقصود هو البحر البسيط.
ما تفعيلات البحر البسيط؟,مستفعلن فعلن مستفعلن فعلن,فاعلاتن فاعلن فاعلاتن,مفاعلتن مفاعلتن فعولن,مفاعيلن مفاعيلن,0,تفعيلات البحر البسيط: مستفعلن فعلن مستفعلن فعلن
أكمل الضابط: «بحور الشعر وافرها ...»,طويل,جميل,يسهل,صفات,1,الضابط الكامل: بحور الشعر وافرها جميل
ما تفعيلات البحر الوافر؟,متفاعلن متفاعلن متفاعلن,مفاعلتن مفاعلتن فعولن,فاعلاتن فاعلاتن فاعلاتن,مستفعلن مستفعلن مستفعلن,0,تفعيلات البحر الوافر: متفاعلن متفاعلن متفاعلن
إلى أي بحر ينتمي الضابط: «كمل الجمال من البحور الكامل»؟,الطويل,الكامل,الوافر,الرجز,1,الضابط ينتمي إلى بحر الكامل.
ما التفعيلة التي تتكرر ثلاث مرات في البحر الكامل؟,مستفعلن,فاعلاتن,متفاعلن,مفاعيلن,2,التفعيلة متفاعلن هي التي تتكرر ثلاث مرات في البحر الكامل.
ما ضابط البحر الهزج؟,رمل الأبحر ترويه الثقات,على الأهزاج تسهيل,في أبحر الأرجاز بحر يسهل,لمَديد الشعر عندي صفات,1,ضابط البحر الهزج: على الأهزاج تسهيل
ما تفعيلات البحر الهزج؟,مفاعيلن مفاعيلن,فاعلاتن فاعلاتن فاعلاتن,مستفعلن مستفعلن مستفعلن,متفاعلن متفاعلن متفاعلن,0,تفعيلات البحر الهزج: مفاعيلن مفاعيلن
أي بحر يُلقب بـ«حمار الشعراء»؟,الطويل,الرجز,الرمل,المديد,1,بحر الرجز يُلقب بحمار الشعراء.
ما تفعيلات البحر الرجز؟,متفاعلن متفاعلن متفاعلن,مفاعلتن مفاعلتن فعولن,مستفعلن مستفعلن مستفعلن,مفاعيلن مفاعيلن,2,تفعيلات البحر الرجز: مستفعلن مستفعلن مستفعلن
إلى أي بحر ينتمي الضابط: «رمل الأبحر ترويه الثقات»؟,الرجز,الرمل,البسيط,الكامل,1,الضابط ينتمي إلى بحر الرمل.
ما تفعيلات البحر الرمل؟,فاعلاتن فاعلاتن فاعلاتن,مستفعلن مستفعلن مستفعلن,فعولن مفاعيلن فعولن مفاعلن,مفاعلتن مفاعلتن فعولن,0,تفعيلات البحر الرمل: فاعلاتن فاعلاتن فاعلاتن
أي بحر يبدأ بتفعيلة «فعولن»؟,الطويل,البسيط,الرمل,الرجز,0,البحر الطويل يبدأ بتفعيلة فعولن.
أي بحر تتكرر فيه تفعيلة «مستفعلن» ثلاث مرات؟,الهزج,الرجز,الكامل,الوافر,1,بحر الرجز تتكرر فيه تفعيلة مستفعلن ثلاث مرات.
أي بحر تتكون تفعيلاته من وحدتين فقط في الصورة المذكورة في الدرس؟,الطويل,البسيط,الهزج,الوافر,2,بحر الهزج تتكون تفعيلاته من وحدتين فقط.
